ID,Link,Name,New,In Analysis,Ready,In Progress,Waiting,Accepted,Done,Type,
BKG-1,https://its.it.lan.com/browse/BKG-1,,2015-11-12,,2015-11-20,2015-12-01,,2015-12-23,2016-01-18,Bug,
BKG-2,https://its.it.lan.com/browse/BKG-2,,2015-11-10,,2015-11-17,2015-11-17,,2015-11-18,2015-11-20,Bug,
BKG-3,https://its.it.lan.com/browse/BKG-3,,2015-11-13,,2015-11-23,2015-11-23,,,2015-11-30,Bug,
BKG-4,https://its.it.lan.com/browse/BKG-4,,2015-11-11,,2015-12-15,2016-02-23,,2016-03-01,2016-03-02,Story,
BKG-5,https://its.it.lan.com/browse/BKG-5,,2015-05-28,,2015-09-30,2015-12-22,,2016-02-17,2016-02-24,Story,
BKG-6,https://its.it.lan.com/browse/BKG-6,,2015-06-08,,2015-11-27,2015-12-22,,2015-12-31,2016-01-18,Story,
BKG-7,https://its.it.lan.com/browse/BKG-7,,2015-11-04,,2015-11-26,2015-11-30,,2015-12-03,2015-12-11,Story,
BKG-8,https://its.it.lan.com/browse/BKG-8,,2015-11-12,,2015-12-22,,,,2016-02-18,Story,
BKG-9,https://its.it.lan.com/browse/BKG-9,,2015-11-13,,2015-12-23,2016-02-10,,2016-02-16,2016-02-24,Story,
BKG-12,https://its.it.lan.com/browse/BKG-12,,2015-11-10,,,2016-01-14,,,2016-01-20,Task,
BKG-19,https://its.it.lan.com/browse/BKG-19,,2015-11-10,,2016-06-21,2016-06-22,,,2016-07-06,Task,
BKG-30,https://its.it.lan.com/browse/BKG-30,,2015-11-19,,,2016-02-04,,,2016-02-05,Task,
BKG-33,https://its.it.lan.com/browse/BKG-33,,2015-11-19,,,2016-01-25,,,2016-01-25,Task,
BKG-34,https://its.it.lan.com/browse/BKG-34,,2015-11-19,,,2015-11-23,,,2015-12-01,Task,
BKG-35,https://its.it.lan.com/browse/BKG-35,,2015-11-20,,,2015-11-24,,,2015-11-25,Task,
BKG-38,https://its.it.lan.com/browse/BKG-38,,2015-11-20,,2015-11-27,2015-12-31,,2016-02-10,2016-02-24,Story,
BKG-39,https://its.it.lan.com/browse/BKG-39,,2015-11-20,,2016-02-11,2016-02-11,,,2016-02-16,Task,
BKG-40,https://its.it.lan.com/browse/BKG-40,,2015-11-20,,2015-11-25,2015-12-01,,2015-12-01,2015-12-01,Bug,
BKG-41,https://its.it.lan.com/browse/BKG-41,,2015-11-20,,2015-12-01,2015-12-07,,2015-12-18,2015-12-29,Story,
BKG-42,https://its.it.lan.com/browse/BKG-42,,2015-11-23,,2016-01-05,2016-01-08,,2016-02-08,2016-02-16,Story,
BKG-43,https://its.it.lan.com/browse/BKG-43,,2015-11-23,,2015-11-24,2015-11-24,,2015-12-01,2015-12-01,Bug,
BKG-44,https://its.it.lan.com/browse/BKG-44,,2015-11-27,,,2015-11-27,,,2015-11-30,Task,
BKG-45,https://its.it.lan.com/browse/BKG-45,,2015-11-30,,,2015-11-30,,,2015-12-07,Task,
BKG-46,https://its.it.lan.com/browse/BKG-46,,2015-12-01,,,2015-12-01,,,2015-12-18,Task,
BKG-48,https://its.it.lan.com/browse/BKG-48,,2015-12-01,,2015-12-03,2015-12-04,,2015-12-24,2016-01-18,Story,
BKG-52,https://its.it.lan.com/browse/BKG-52,,2015-12-14,,2015-12-14,2015-12-14,,2015-12-18,2016-01-18,Bug,
BKG-53,https://its.it.lan.com/browse/BKG-53,,2015-12-16,,2015-12-16,2015-12-16,,2015-12-18,2015-12-29,Bug,
BKG-54,https://its.it.lan.com/browse/BKG-54,,2015-12-16,,2016-09-06,2016-09-13,2016-09-29,2016-10-06,2016-10-07,Story,
BKG-55,https://its.it.lan.com/browse/BKG-55,,2015-12-18,,,2015-12-18,,,2016-01-06,Task,
BKG-57,https://its.it.lan.com/browse/BKG-57,,2015-12-28,,2016-03-16,2016-03-23,,2016-04-12,2016-04-14,Story,
BKG-58,https://its.it.lan.com/browse/BKG-58,,2015-12-31,,2016-03-30,2016-04-15,,2016-04-19,2016-04-21,Story,
BKG-60,https://its.it.lan.com/browse/BKG-60,,2015-12-31,,2016-02-08,2016-02-16,,2016-02-17,2016-02-24,Story,
BKG-61,https://its.it.lan.com/browse/BKG-61,,2015-12-31,,2016-01-14,2016-01-14,,2016-01-28,2016-04-27,Story,
BKG-63,https://its.it.lan.com/browse/BKG-63,,2016-01-08,,2016-04-20,2016-04-26,,2016-04-29,2016-05-02,Story,
BKG-65,https://its.it.lan.com/browse/BKG-65,,2016-01-11,,,2016-01-11,,,2016-01-14,Task,
